G117	MEDIUM	MEDIUM	handlers/integrations.go	228	Marshaled struct field "APIKey" (JSON key "api_key") matches secret pattern
G120	MEDIUM	HIGH	handlers/attachments.go	122	Unbounded form parsing in HTTP handlers can cause memory exhaustion
G120	MEDIUM	HIGH	handlers/attachments.go	362	Unbounded form parsing in HTTP handlers can cause memory exhaustion
G120	MEDIUM	HIGH	handlers/branding.go	277	Unbounded form parsing in HTTP handlers can cause memory exhaustion
G120	MEDIUM	HIGH	handlers/csv.go	266	Unbounded form parsing in HTTP handlers can cause memory exhaustion
G120	MEDIUM	HIGH	handlers/dev_testreports_service.go	105	Unbounded form parsing in HTTP handlers can cause memory exhaustion
G120	MEDIUM	HIGH	handlers/documents.go	152	Unbounded form parsing in HTTP handlers can cause memory exhaustion
G120	MEDIUM	HIGH	handlers/logo.go	43	Unbounded form parsing in HTTP handlers can cause memory exhaustion
G120	MEDIUM	HIGH	handlers/profile.go	145	Unbounded form parsing in HTTP handlers can cause memory exhaustion
G124	MEDIUM	HIGH	auth/auth.go	190	http.Cookie missing or has insecure Secure, HttpOnly, or SameSite attribute
G124	MEDIUM	HIGH	auth/auth.go	258	http.Cookie missing or has insecure Secure, HttpOnly, or SameSite attribute
G124	MEDIUM	HIGH	auth/auth.go	472	http.Cookie missing or has insecure Secure, HttpOnly, or SameSite attribute
G124	MEDIUM	HIGH	auth/auth.go	508	http.Cookie missing or has insecure Secure, HttpOnly, or SameSite attribute
G124	MEDIUM	HIGH	auth/csrf.go	124	http.Cookie missing or has insecure Secure, HttpOnly, or SameSite attribute
G124	MEDIUM	HIGH	auth/csrf.go	140	http.Cookie missing or has insecure Secure, HttpOnly, or SameSite attribute
G124	MEDIUM	HIGH	auth/oidc.go	167	http.Cookie missing or has insecure Secure, HttpOnly, or SameSite attribute
G124	MEDIUM	HIGH	auth/oidc.go	179	http.Cookie missing or has insecure Secure, HttpOnly, or SameSite attribute
G124	MEDIUM	HIGH	auth/oidc.go	316	http.Cookie missing or has insecure Secure, HttpOnly, or SameSite attribute
G124	MEDIUM	HIGH	auth/totp.go	277	http.Cookie missing or has insecure Secure, HttpOnly, or SameSite attribute
G202	MEDIUM	HIGH	auth/auth.go	339-348	SQL string concatenation
G202	MEDIUM	HIGH	handlers/ai_papertrail.go	375-400	SQL string concatenation
G202	MEDIUM	HIGH	handlers/ai_papertrail.go	567-590	SQL string concatenation
G202	MEDIUM	HIGH	handlers/ai_prompts.go	258	SQL string concatenation
G202	MEDIUM	HIGH	handlers/applicable_memories.go	420-423	SQL string concatenation
G202	MEDIUM	HIGH	handlers/contacts.go	332	SQL string concatenation
G202	MEDIUM	HIGH	handlers/contacts.go	50-55	SQL string concatenation
G202	MEDIUM	HIGH	handlers/crm/handlers.go	448	SQL string concatenation
G202	MEDIUM	HIGH	handlers/csv.go	100	SQL string concatenation
G202	MEDIUM	HIGH	handlers/customers.go	395-400	SQL string concatenation
G202	MEDIUM	HIGH	handlers/incidents.go	94-101	SQL string concatenation
G202	MEDIUM	HIGH	handlers/issues.go	261-266	SQL string concatenation
G202	MEDIUM	HIGH	handlers/issues.go	307-316	SQL string concatenation
G202	MEDIUM	HIGH	handlers/issues.go	347-358	SQL string concatenation
G202	MEDIUM	HIGH	handlers/issues_batch_tags.go	104-108	SQL string concatenation
G202	MEDIUM	HIGH	handlers/issues_list.go	219	SQL string concatenation
G202	MEDIUM	HIGH	handlers/issues_list.go	99	SQL string concatenation
G202	MEDIUM	HIGH	handlers/issues_write.go	750	SQL string concatenation
G202	MEDIUM	HIGH	handlers/memory_references.go	132-138	SQL string concatenation
G202	MEDIUM	HIGH	handlers/mutation_log.go	395	SQL string concatenation
G202	MEDIUM	HIGH	handlers/mutation_log.go	816-822	SQL string concatenation
G202	MEDIUM	HIGH	handlers/mutation_log.go	825-832	SQL string concatenation
G202	MEDIUM	HIGH	handlers/portal.go	1175-1181	SQL string concatenation
G202	MEDIUM	HIGH	handlers/portal.go	1225-1236	SQL string concatenation
G202	MEDIUM	HIGH	handlers/portal.go	1288-1297	SQL string concatenation
G202	MEDIUM	HIGH	handlers/portal.go	1323-1330	SQL string concatenation
G202	MEDIUM	HIGH	handlers/portal.go	982-989	SQL string concatenation
G202	MEDIUM	HIGH	handlers/project_context.go	840	SQL string concatenation
G202	MEDIUM	HIGH	handlers/projects.go	48-67	SQL string concatenation
G202	MEDIUM	HIGH	handlers/recent_projects.go	69-79	SQL string concatenation
G202	MEDIUM	HIGH	handlers/reports.go	203-220	SQL string concatenation
G202	MEDIUM	HIGH	handlers/super_admin_audit.go	143-153	SQL string concatenation
G202	MEDIUM	HIGH	handlers/tags.go	488-494	SQL string concatenation
G202	MEDIUM	HIGH	handlers/tags.go	526-532	SQL string concatenation
G204	MEDIUM	HIGH	cmd/paimos/adapters/external.go	147	Subprocess launched with a potential tainted input or cmd arguments
G204	MEDIUM	HIGH	cmd/paimos/project_context_support.go	94	Subprocess launched with variable
G301	MEDIUM	HIGH	cmd/paimos/cmd_anchors.go	280	Expect directory permissions to be 0750 or less
G301	MEDIUM	HIGH	cmd/paimos/cmd_session_bundle.go	1062	Expect directory permissions to be 0750 or less
G301	MEDIUM	HIGH	cmd/paimos/cmd_session_bundle.go	1120	Expect directory permissions to be 0750 or less
G301	MEDIUM	HIGH	cmd/paimos/cmd_session_bundle.go	1159	Expect directory permissions to be 0750 or less
G301	MEDIUM	HIGH	cmd/paimos/cmd_skill.go	496	Expect directory permissions to be 0750 or less
G301	MEDIUM	HIGH	cmd/paimos/sync/skill_resource.go	301	Expect directory permissions to be 0750 or less
G301	MEDIUM	HIGH	db/db.go	70	Expect directory permissions to be 0750 or less
G301	MEDIUM	HIGH	handlers/branding.go	221	Expect directory permissions to be 0750 or less
G301	MEDIUM	HIGH	handlers/branding.go	328	Expect directory permissions to be 0750 or less
G301	MEDIUM	HIGH	handlers/dev_testreports_service.go	189	Expect directory permissions to be 0750 or less
G301	MEDIUM	HIGH	handlers/logo.go	77	Expect directory permissions to be 0750 or less
G301	MEDIUM	HIGH	handlers/profile.go	182	Expect directory permissions to be 0750 or less
G304	MEDIUM	HIGH	cmd/paimos-mcp/mcpclient/client.go	61	Potential file inclusion via variable
G304	MEDIUM	HIGH	cmd/paimos/adapters/conformance.go	274	Potential file inclusion via variable
G304	MEDIUM	HIGH	cmd/paimos/adapters/discovery.go	156	Potential file inclusion via variable
G304	MEDIUM	HIGH	cmd/paimos/adapters/manifest.go	266	Potential file inclusion via variable
G304	MEDIUM	HIGH	cmd/paimos/client.go	208	Potential file inclusion via variable
G304	MEDIUM	HIGH	cmd/paimos/cmd_anchors.go	232	Potential file inclusion via variable
G304	MEDIUM	HIGH	cmd/paimos/cmd_anchors.go	292	Potential file inclusion via variable
G304	MEDIUM	HIGH	cmd/paimos/cmd_apply.go	239	Potential file inclusion via variable
G304	MEDIUM	HIGH	cmd/paimos/cmd_apply.go	62	Potential file inclusion via variable
G304	MEDIUM	HIGH	cmd/paimos/cmd_issue_write.go	45	Potential file inclusion via variable
G304	MEDIUM	HIGH	cmd/paimos/cmd_onboard.go	887	Potential file inclusion via variable
G304	MEDIUM	HIGH	cmd/paimos/cmd_schema.go	98	Potential file inclusion via variable
G304	MEDIUM	HIGH	cmd/paimos/cmd_session_bundle.go	1089	Potential file inclusion via variable
G304	MEDIUM	HIGH	cmd/paimos/cmd_skill.go	514	Potential file inclusion via variable
G304	MEDIUM	HIGH	cmd/paimos/cmd_sync.go	542	Potential file inclusion via variable
G304	MEDIUM	HIGH	cmd/paimos/config.go	75	Potential file inclusion via variable
G304	MEDIUM	HIGH	cmd/paimos/sync/knowledge_resource.go	222	Potential file inclusion via variable
G304	MEDIUM	HIGH	cmd/paimos/sync/knowledge_resource.go	334	Potential file inclusion via variable
G304	MEDIUM	HIGH	cmd/paimos/sync/skill_resource.go	172	Potential file inclusion via variable
G304	MEDIUM	HIGH	cmd/paimos/sync/skill_resource.go	249	Potential file inclusion via variable
G304	MEDIUM	HIGH	handlers/branding.go	135	Potential file inclusion via variable
G304	MEDIUM	HIGH	handlers/branding.go	94	Potential file inclusion via variable
G304	MEDIUM	HIGH	handlers/dev_testreports_service.go	49	Potential file inclusion via variable
G304	MEDIUM	HIGH	handlers/dev_testreports_service.go	77	Potential file inclusion via variable
G304	MEDIUM	HIGH	handlers/reports_logo.go	68	Potential file inclusion via variable
G304	MEDIUM	HIGH	handlers/reports_logo.go	89	Potential file inclusion via variable
G304	MEDIUM	HIGH	secretvault/vault.go	142	Potential file inclusion via variable
G306	MEDIUM	HIGH	cmd/paimos/cmd_anchors.go	288	Expect WriteFile permissions to be 0600 or less
G306	MEDIUM	HIGH	cmd/paimos/cmd_session_bundle.go	1071	Expect WriteFile permissions to be 0600 or less
G306	MEDIUM	HIGH	cmd/paimos/cmd_session_bundle.go	1133	Expect WriteFile permissions to be 0600 or less
G306	MEDIUM	HIGH	cmd/paimos/cmd_session_bundle.go	1164	Expect WriteFile permissions to be 0600 or less
G306	MEDIUM	HIGH	cmd/paimos/cmd_skill.go	500	Expect WriteFile permissions to be 0600 or less
G306	MEDIUM	HIGH	cmd/paimos/sync/skill_resource.go	305	Expect WriteFile permissions to be 0600 or less
G306	MEDIUM	HIGH	handlers/branding.go	238	Expect WriteFile permissions to be 0600 or less
G306	MEDIUM	HIGH	handlers/branding.go	344	Expect WriteFile permissions to be 0600 or less
G306	MEDIUM	HIGH	handlers/dev_testreports_service.go	192	Expect WriteFile permissions to be 0600 or less
G306	MEDIUM	HIGH	handlers/dev_testreports_service.go	196	Expect WriteFile permissions to be 0600 or less
G306	MEDIUM	HIGH	handlers/dev_testreports_service.go	203	Expect WriteFile permissions to be 0600 or less
G306	MEDIUM	HIGH	handlers/logo.go	87	Expect WriteFile permissions to be 0600 or less
G306	MEDIUM	HIGH	handlers/profile.go	188	Expect WriteFile permissions to be 0600 or less
G701	HIGH	HIGH	handlers/ai_papertrail.go	371	SQL injection via taint analysis
G701	HIGH	HIGH	handlers/ai_papertrail.go	401	SQL injection via taint analysis
G701	HIGH	HIGH	handlers/ai_papertrail.go	591	SQL injection via taint analysis
G701	HIGH	HIGH	handlers/issues_aggregation.go	121	SQL injection via taint analysis
G701	HIGH	HIGH	handlers/issues_aggregation.go	69	SQL injection via taint analysis
G701	HIGH	HIGH	handlers/issues_etag.go	17	SQL injection via taint analysis
G701	HIGH	HIGH	handlers/issues_list.go	102	SQL injection via taint analysis
G701	HIGH	HIGH	handlers/issues_list.go	223	SQL injection via taint analysis
G701	HIGH	HIGH	handlers/projects.go	48	SQL injection via taint analysis
G701	HIGH	HIGH	handlers/recent_projects.go	69	SQL injection via taint analysis
G701	HIGH	HIGH	handlers/reports.go	222	SQL injection via taint analysis
G703	HIGH	HIGH	db/db.go	70	Path traversal via taint analysis
G703	HIGH	HIGH	handlers/branding.go	238	Path traversal via taint analysis
G703	HIGH	HIGH	handlers/branding.go	242	Path traversal via taint analysis
G703	HIGH	HIGH	handlers/branding.go	243	Path traversal via taint analysis
G703	HIGH	HIGH	handlers/branding.go	403	Path traversal via taint analysis
G703	HIGH	HIGH	handlers/branding.go	418	Path traversal via taint analysis
G703	HIGH	HIGH	handlers/branding.go	94	Path traversal via taint analysis
G703	HIGH	HIGH	handlers/dev.go	153	Path traversal via taint analysis
G703	HIGH	HIGH	handlers/dev.go	159	Path traversal via taint analysis
G703	HIGH	HIGH	handlers/profile.go	188	Path traversal via taint analysis
G703	HIGH	HIGH	handlers/reports_logo.go	68	Path traversal via taint analysis
G703	HIGH	HIGH	handlers/reports_logo.go	89	Path traversal via taint analysis
G703	HIGH	HIGH	main.go	723	Path traversal via taint analysis
G703	HIGH	HIGH	main.go	823	Path traversal via taint analysis
G703	HIGH	HIGH	main.go	834	Path traversal via taint analysis
G703	HIGH	HIGH	secretvault/vault.go	142	Path traversal via taint analysis
G703	HIGH	HIGH	secretvault/vault.go	153	Path traversal via taint analysis
G703	HIGH	HIGH	secretvault/vault.go	157	Path traversal via taint analysis
G704	HIGH	HIGH	auth/oidc.go	131	SSRF via taint analysis
G704	HIGH	HIGH	auth/oidc.go	135	SSRF via taint analysis
G704	HIGH	HIGH	handlers/jiraimport.go	944	SSRF via taint analysis
G704	HIGH	HIGH	handlers/jiraimport.go	952	SSRF via taint analysis
G705	MEDIUM	HIGH	handlers/branding.go	111	XSS via taint analysis
